,player_name,birth_date,Club Team,nationality,position,minutes_played,shots_per90,shots_on_target_per90,goals_per90,xgoals_per90,xplace_per90,key_passes_per90,primary_assists_per90,xassists_per90,xgoals_plus_xassists_per90,points_added_per90,xpoints_added_per90,attempted_passes_per90,passes_completed_over_expected_per90,Dribbling_goals_added_raw_per90,Dribbling_goals_added_above_avg_per90,Dribbling_count_actions_per90,Fouling_goals_added_raw_per90,Fouling_goals_added_above_avg_per90,Fouling_count_actions_per90,Interrupting_goals_added_raw_per90,Interrupting_goals_added_above_avg_per90,Interrupting_count_actions_per90,Passing_goals_added_raw_per90,Passing_goals_added_above_avg_per90,Passing_count_actions_per90,Receiving_goals_added_raw_per90,Receiving_goals_added_above_avg_per90,Receiving_count_actions_per90,Shooting_goals_added_raw_per90,Shooting_goals_added_above_avg_per90,Shooting_count_actions_per90,passes_completed_over_expected_p100passes,goalsAdded_raw_per90,goalsAdded_above_avg_per90
Kevin Cabral,Kevin Cabral,1999-07-10,Colorado Rapids,France,ST,1312,1.2347560975609757,0.823170731707317,0.13719512195121952,0.23926143292682928,0.06215625,0.4115853658536585,0,0.07232926829268292,0.3115907012195122,0.1201829268292683,0.19731402439024393,17.01219512195122,-0.7258582317073171,-0.003519054878048781,-0.0038620426829268292,10.152439024390244,-0.0005899390243902439,-0.009637957317073172,2.8810975609756095,0.05413033536585366,0.014233993902439025,5.6935975609756095,-0.02929801829268293,-0.020586128048780492,17.01219512195122,0.10957774390243902,-0.01826753048780488,16.257621951219512,0.03525914634146341,-0.01644283536585366,1.2347560975609757,-4.2667,0.16556021341463414,-0.0545625
Danny Leyva,Danny Leyva,2003-05-05,,USA,CM,746,0.6032171581769437,0.36193029490616624,0,0.02527479892761394,0.12306836461126006,1.3270777479892761,0,0.09544101876675604,0.12071581769436995,0,0.012365951742627349,43.06970509383378,-1.0093753351206434,-0.023621983914209114,-0.030402144772117962,10.254691689008043,-0.04023458445040214,-0.04177882037533512,4.222520107238606,0.04793163538873995,-0.009747989276139412,10.134048257372655,0.013849865951742629,-0.01147319034852547,43.06970509383378,0.03113806970509383,-0.02797721179624665,37.520107238605895,0.01169034852546917,-0.017903485254691688,0.6032171581769437,-2.3436,0.04075335120643432,-0.1392828418230563
Cody Baker,Cody Baker,2004-01-07,Seattle Sounders FC,USA,FB,782,0.11508951406649616,0,0,0.0016918158567774937,-0.0016918158567774937,0.5754475703324808,0,0.04773913043478261,0.049430946291560106,0,0.0013695652173913045,53.631713554987215,-0.5938849104859334,0.002290281329923274,-0.004845268542199489,11.969309462915602,0.0005869565217391304,0.004787723785166241,1.6112531969309463,0.0911393861892583,0.03436572890025576,11.624040920716112,0.05981202046035806,0.02340920716112532,53.631713554987215,0.02012915601023018,-0.0004603580562659846,38.785166240409204,0,-0.010956521739130436,0.11508951406649616,-1.1073,0.17395780051150894,0.04630051150895141
Wyatt Omsberg,Wyatt Omsberg,1995-09-21,Chicago Fire FC,USA,CB,801,0,0,0,0,0,0,0,0,0,0,0,42.359550561797754,0.48908988764044947,-0.010775280898876406,-0.012460674157303371,9.101123595505618,-0.0038988764044943823,0.005438202247191012,1.2359550561797752,0.10652808988764045,0.03660674157303371,13.707865168539326,0.04577528089887641,-0.0034269662921348316,42.359550561797754,0.006,-0.013820224719101123,31.348314606741575,0,-0.010089887640449439,0,1.1546,0.14362921348314608,0.0022471910112359574
Themi Antonoglou,Themi Antonoglou,2001-06-02,Toronto FC,Canada,FB,521,0.345489443378119,0.1727447216890595,0,0.03301151631477928,-0.013940499040307103,0.1727447216890595,0,0.017792706333973132,0.0508042226487524,0,0.04444721689059502,40.24952015355086,-0.2663550863723609,0.019986564299424185,0.011902111324376201,9.155470249520153,-0.01036468330134357,-0.007704414587332054,2.072936660268714,0.02841650671785029,-0.027535508637236087,11.746641074856045,-0.018621880998080615,-0.051166986564299424,40.24952015355086,0.01259309021113244,-0.016548944337811903,27.81190019193858,0.006667946257197697,-0.008671785028790787,0.345489443378119,-0.6618,0.03867754318618042,-0.09972552783109406
Nkosi Burgess,Nkosi Burgess,1997-03-23,FC Dallas,USA,CB,3075,0.526829268292683,0.14634146341463414,0.08780487804878048,0.034536585365853655,0.0015951219512195124,0.14634146341463414,0.05853658536585366,0.023195121951219512,0.05773170731707317,0.09488195121951219,0.02810926829268293,50.048780487804876,-0.4389980487804878,-0.005037073170731708,-0.006731707317073171,11.268292682926829,-0.00271609756097561,0.0066234146341463416,0.9658536585365853,0.07869951219512196,0.008777560975609756,12.263414634146342,0.05516780487804878,0.0059590243902439026,50.048780487804876,0.029762926829268288,0.00993658536585366,39.68780487804878,0.013659512195121952,0.0035678048780487803,0.526829268292683,-0.8771,0.16953658536585367,0.028132682926829272
Ryan Spaulding,Ryan Spaulding,1998-09-10,New England Revolution,USA,FB,768,0.3515625,0.1171875,0,0.048996093750000004,-0.015750000000000004,0.46875,0,0.0150234375,0.06401953125,0,0.00976171875,48.6328125,0.22011328125,-0.00132421875,-0.0087421875,17.34375,0.00465234375,0.00882421875,2.109375,0.0584296875,0.0003984375000000001,9.0234375,-0.0040546875,-0.0409921875,48.6328125,0.013781250000000002,-0.007265625,37.5,0.0073828125,-0.004136718750000001,0.3515625,0.4526,0.0788671875,-0.0519140625
Ashley Westwood,Ashley Westwood,1990-04-01,Charlotte FC,England,CM,2922,0.5544147843942505,0.09240246406570841,0.09240246406570841,0.031247433264887062,0.00431211498973306,1.0472279260780288,0.061601642710472276,0.0696776180698152,0.10092505133470227,0.06041273100616017,0.021283367556468175,53.347022587268995,0.42371149897330596,-0.018967145790554415,-0.027665297741273097,10.349075975359343,0.0100564681724846,0.011852156057494869,2.0020533880903493,0.06494045174537988,-0.000009240246406570844,6.283367556468172,0.04286858316221766,0.00822381930184805,53.347022587268995,0.032337782340862424,-0.0012936344969199179,41.58110882956879,0.009803901437371663,-0.01084188911704312,0.5544147843942505,0.7943,0.14104004106776183,-0.019734086242299786
Douglas Costa,Douglas Costa,1990-09-14,LA Galaxy,Brazil,W,1342,2.615499254843517,0.6706408345752608,0.20119225037257824,0.18015424739195232,0.009429210134128167,2.481371087928465,0.46944858420268254,0.28741654247391957,0.46757078986587175,0.13879582712369595,0.10136736214605067,51.03576751117735,-0.037005961251862896,0.09341356184798807,0.07854545454545454,25.81967213114754,-0.0026959761549925484,-0.010374813710879284,2.0789865871833086,0.029400894187779435,-0.014827868852459018,6.4381520119225035,0.04930551415797318,0.03791803278688525,51.03576751117735,0.0716043219076006,-0.01447913561847988,46.944858420268254,0.055964977645305516,0.013385991058122205,2.615499254843517,-0.07250000000000001,0.2969932935916543,0.09016766020864382
Danny Musovski,Danny Musovski,1995-11-30,Real Salt Lake,USA,ST,1347,1.7371937639198218,0.8685968819599109,0.33407572383073497,0.29901113585746103,-0.007924276169265035,0.6013363028953229,0.267260579064588,0.0998619153674833,0.39887973273942096,0.1900089086859688,0.15253229398663698,16.035634743875278,-1.3136124721603564,-0.021881959910913143,-0.008559020044543432,10.155902004454344,-0.00456347438752784,-0.016383073496659243,2.739420935412027,0.015587973273942093,-0.01687750556792873,4.944320712694878,-0.06475723830734967,-0.036193763919821834,16.035634743875278,0.2178240534521158,0.04166592427616927,17.906458797327396,0.050792873051224936,-0.012968819599109132,1.7371937639198218,-8.1918,0.19300222717149218,-0.04931625835189309
