Player,Team,Age,Games Played,Substitute On,Substitute Off,Games Won,Goals,Goals+Assists,Duels Won,Expected Goals,"Goal Kicks, Successful",Fouls Won,Date of Birth
"Brown, Nico",Lexington,25y 300d,32,2,10,7,8,9,155,7.97,0,70,11/08/1998
"Villalobos, Jimmie",One Knoxville,28y 321d,32,3,11,9,3,6,99,3.21,0,25,21/07/1995
"Robertson, Tate",Lexington,27y 006d,32,1,9,7,4,12,107,1.72,0,24,31/05/1997
"Machell, Charlie",Lexington,29y 225d,32,6,16,7,0,3,68,2.91,0,12,25/10/1994
"Balogun, Khalid",Lexington,25y 317d,31,21,7,7,4,6,135,4.32,0,42,25/07/1998
"Fox, Kaelon",Lexington,29y 006d,31,1,0,7,0,0,126,1.04,2,21,31/05/1995
"Diouf, Ates",Lexington,24y 074d,30,3,10,7,15,16,153,13.03,0,56,24/03/2000
"Waldeck, Derek",One Knoxville,26y 126d,30,1,12,9,0,6,141,1.07,0,41,01/02/1998
"Green, Owen",Lexington,25y 271d,30,2,5,7,1,2,100,0.22,0,18,09/09/1998
"Skelton, Jordan",One Knoxville,27y 105d,30,0,0,8,1,2,181,1.28,1,18,22/02/1997
"Johnson, Callum",One Knoxville,26y 218d,30,10,17,9,3,3,66,5.24,0,15,01/11/1997
"Keegan, Jake",One Knoxville,33y 273d,29,2,13,9,6,9,100,4.79,0,40,07/09/1990
"Dlamini, Phila",Lexington,25y 101d,28,10,14,6,1,3,69,0.6,0,41,26/02/1999
"Kelly, Angelo",One Knoxville,31y 133d,28,0,8,7,3,4,169,0.88,0,39,25/01/1993
"Lewis, Sean",One Knoxville,32y 050d,28,0,0,9,0,0,19,0.01,157,13,17/04/1992
"Crisler, Jalen",One Knoxville,29y 282d,27,3,1,7,2,4,124,1.84,3,25,29/08/1994
"van der Pluijm, Yesin",One Knoxville,25y 063d,27,3,9,6,1,1,84,0.61,0,10,04/04/1999
"Kim, Seo-In",Lexington,29y 049d,27,22,5,6,1,1,32,0.97,0,10,18/04/1995
"Ross, Frank",One Knoxville,26y 109d,25,10,15,5,5,5,69,3.38,0,19,18/02/1998
"Fernandez, Dani",One Knoxville,27y 022d,25,4,7,7,2,2,88,2.18,8,9,15/05/1997
"Mané, Pierre",Lexington,25y 356d,24,12,9,6,1,1,76,0.7,0,18,16/06/1998
"Knight, Amal",Lexington,30y 200d,24,0,0,6,0,0,8,0,145,3,19/11/1993
"Smart, Don",Lexington,36y 187d,23,5,6,5,6,6,78,4.86,0,22,02/12/1987
"Mohammed, Terique",Lexington,24y 131d,22,2,4,6,0,3,113,0.48,0,39,27/01/2000
"Ilic, Ilija",One Knoxville,33y 041d,21,6,15,5,4,4,58,4.58,0,21,26/04/1991
"Murillo, Cesar",Lexington,28y 111d,20,2,2,4,0,1,70,0.33,6,15,16/02/1996
"Claudio, Gabriel",One Knoxville,24y 225d,19,14,5,8,1,1,60,0.54,0,11,25/10/1999
"James, Jalen",Lexington,24y 027d,19,11,5,3,0,1,40,0.93,0,8,10/05/2000
"McDowell, Kyle",One Knoxville,25y 114d,18,11,3,4,0,2,28,0.11,0,8,13/02/1999
"Vowinkel, Matthew",One Knoxville,25y 129d,18,16,3,5,0,1,40,0.54,0,5,29/01/1999
"Ceja Gonzalez, Erick",Lexington,22y 279d,17,0,3,4,0,0,93,1.04,0,23,01/09/2001
"Thomas, James",One Knoxville,27y 001d,16,4,6,3,0,1,44,0.69,0,17,05/06/1997
"Calixtro, Gio",One Knoxville,23y 345d,15,5,4,4,1,1,47,1.72,0,12,27/06/2000
"Selemani, Ahinga",One Knoxville,28y 083d,15,15,0,5,0,0,25,0.63,0,11,15/03/1996
"Andreassen, Sebastian",One Knoxville,27y 008d,13,9,4,3,1,1,57,1.37,0,18,29/05/1997
"O'Hearn, Sean",One Knoxville,25y 361d,13,6,4,3,0,0,45,0.14,0,7,11/06/1998
"Baynham, Will",Lexington,26y 359d,12,3,7,1,1,1,40,1.52,0,5,13/06/1997
"Leinhos, Jan-Erik",One Knoxville,27y 023d,12,10,1,3,0,2,18,0.2,0,0,14/05/1997
"Castro Jr., Rodolfo",One Knoxville,25y 265d,11,3,7,4,1,1,31,2.26,0,12,15/09/1998
"Fletcher, Sam",One Knoxville,24y 223d,10,9,1,5,0,0,15,0,0,5,27/10/1999
"Causey, Austin",Lexington,22y 291d,8,0,1,1,0,0,7,0,52,1,20/08/2001
"Martinez, Franky",Lexington,28y 302d,7,2,1,0,0,0,26,0.12,0,2,09/08/1995
"Patterson, Drew",Lexington,23y 047d,7,5,3,1,0,0,19,0.59,0,1,20/04/2001
"Jackson, Kimball",Lexington,19y 309d,6,1,1,0,1,1,25,0.57,0,1,02/08/2004
"Irakoze, Diallo",Lexington,23y 117d,5,5,0,1,0,0,7,0,0,1,10/02/2001
"Swinkels, Peter",One Knoxville,27y 002d,4,0,0,0,0,0,0,0,24,0,04/06/1997
"Head, Joshua",Lexington,20y 152d,3,2,1,0,0,0,5,0.1,0,1,06/01/2004
"Santos, Leo",One Knoxville,17y 131d,2,2,0,0,0,0,0,0,0,0,27/01/2007
"Phillips, Luke",Lexington,17y 225d,1,1,0,0,0,0,0,0,0,0,25/10/2006
"Hart, Corey",One Knoxville,20y 326d,0,0,0,0,0,0,0,0,0,0,16/07/2003
